words,key
A,A
ABRACADABRA,AAAAABBCDRR
ANTIPARLIAMENTARIANS,AAAAAEIIILMNNNPRRSTT
ANTIPARLIAMENTARIAN,AAAAAEIIILMNNNPRRTT
BACCALAUREATES,AAAABCCEELRSTU
BACCALAUREATE,AAAABCCEELRTU
BACCHANALIA,AAAABCCHILN
BACCHANALIAN,AAAABCCHILNN
BACCHANALIAS,AAAABCCHILNS
CASABLANCA,AAAABCCLNS
ADIABATICALLY,AAAABCDIILLTY
ANTIDISESTABLISHMENTARIANISM,AAAABDEEHIIIIILMMNNNRSSSSTTT
ANTIDISESTABLISHMENTARIAN,AAAABDEEHIIIILMNNNRSSSTTT
AMBASSADORIAL,AAAABDILMORSS
BALALAIKA,AAAABIKLL
BALALAIKAS,AAAABIKLLS
ALABAMIAN,AAAABILMN
ALABAMIANS,AAAABILMNS
ALABAMA,AAAABLM
LACKADAISICALLY,AAAACCDIIKLLLSY
LACKADAISICAL,AAAACCDIIKLLS
DIAGRAMMATICALLY,AAAACDGIILLMMRTY
DIAGRAMMATICAL,AAAACDGIILMMRT
MADAGASCAR,AAAACDGMRS
PARADISIACALLY,AAAACDIILLPRSY
PARADISIACAL,AAAACDIILPRS
JACARANDA,AAAACDJNR
JACARANDAS,AAAACDJNRS
MEGALOMANIACALLY,AAAACEGILLLMMNOY
MEGALOMANIACAL,AAAACEGILLMMNO
CARAVANSARIES,AAAACEINRRSSV
PHANTASMAGORICAL,AAAACGHILMNOPRST
APPALACHIAN,AAAACHILNPP
APPALACHIANS,AAAACHILNPPS
APPALACHIA,AAAACHILPP
ANTIMACASSARS,AAAACIMNRSSST
ANTIMACASSAR,AAAACIMNRSST
CATAMARANS,AAAACMNRST
CATAMARAN,AAAACMNRT
CARAVANSARY,AAAACNRRSVY
AMALGAMATED,AAAADEGLMMT
MALADAPTATION,AAAADILMNOPTT
AMALGAMATIVE,AAAAEGILMMTV
AMALGAMATES,AAAAEGLMMST
AMALGAMATE,AAAAEGLMMT
EXTRAVAGANZAS,AAAAEGNRSTVXZ
EXTRAVAGANZA,AAAAEGNRTVXZ
PARAPHERNALIA,AAAAEHILNPPRR
ANATHEMATA,AAAAEHMNTT
PARLIAMENTARIANS,AAAAEIILMNNPRRST
PARLIAMENTARIAN,AAAAEIILMNNPRRT
RASTAFARIAN,AAAAFINRRST
AMALGAMATING,AAAAGGILMMNT
PHANTASMAGORIAS,AAAAGHIMNOPRSST
PHANTASMAGORIA,AAAAGHIMNOPRST
AMALGAMATION,AAAAGILMMNOT
AMALGAMATORS,AAAAGLMMORST
AMALGAMATOR,AAAAGLMMORT
PARAGUAYANS,AAAAGNPRSUY
PARAGUAYAN,AAAAGNPRUY
MAHARAJAH,AAAAHHJMR
MAHARAJAHS,AAAAHHJMRS
MAHARAJA,AAAAHJMR
MAHARAJAS,AAAAHJMRS
ANTIMALARIAL,AAAAIILLMNRT
KAMAAINA,AAAAIKMN
KAMAAINAS,AAAAIKMNS
SARSAPARILLA,AAAAILLPRRSS
SARSAPARILLAS,AAAAILLPRRSSS
PANAMANIAN,AAAAIMNNNP
PANAMANIANS,AAAAIMNNNPS
KATAKANAS,AAAAKKNST
KATAKANA,AAAAKKNT
MALAYALAM,AAAALLMMY
LAVALAVAS,AAAALLSVV
LAVALAVA,AAAALLVV
CABBALAH,AAABBCHL
CABBALAHS,AAABBCHLS
BARBARICALLY,AAABBCILLRRY
SABBATICALS,AAABBCILSST
SABBATICAL,AAABBCILST
CABBALA,AAABBCL
CABBALAS,AAABBCLS
BARGAINABLE,AAABBEGILNR
ABATABLE,AAABBELT
KABBALAH,AAABBHKL
KABBALAHS,AAABBHKLS
BARBARIANISM,AAABBIIMNRRS
BARBARIZATION,AAABBIINORRTZ
ABBATIAL,AAABBILT
BARBARIAN,AAABBINRR
BARBARIANS,AAABBINRRS
KABBALA,AAABBKL
KABBALAS,AAABBKLS
BARBARA,AAABBRR
BRACHYDACTYLIA,AAABCCDHILRTYY
BUREAUCRATICALLY,AAABCCEILLRRTUUY
BACCHANAL,AAABCCHLN
BACCHANALS,AAABCCHLNS
CATABOLICALLY,AAABCCILLLOTY
ACROBATICALLY,AAABCCILLORTY
CANVASBACKS,AAABCCKNSSV
CANVASBACK,AAABCCKNSV
BACCARATS,AAABCCRST
BACCARAT,AAABCCRT
RADIOBROADCASTERS,AAABCDDEIOORRRSST
RADIOBROADCASTER,AAABCDDEIOORRRST
RADIOBROADCAST,AAABCDDIOORRST
ABECEDARIAN,AAABCDEEINR
ABECEDARIANS,AAABCDEEINRS
CANDELABRA,AAABCDELNR
ADIABATIC,AAABCDIIT
BARRACUDAS,AAABCDRRSU
BARRACUDA,AAABCDRRU
CARRIAGEABLE,AAABCEEGILRR
UNASCERTAINABLE,AAABCEEILNNRSTU
ASCERTAINABLE,AAABCEEILNRST
MANUFACTURABLE,AAABCEFLMNRTUU
ALGEBRAICALLY,AAABCEGILLLRY
ALPHABETICALLY,AAABCEHILLLPTY
ALPHABETICAL,AAABCEHILLPT
INAPPROACHABLE,AAABCEHILNOPPR
UNAPPROACHABLE,AAABCEHLNOPPRU
